supply_structure,pricing_structure,producer_npv,consumer_npv,total_volume_mwh,average_strike_eur_mwh,capture_rate,volume_value,profile_value,path,mode,label
PayAsProduced,FixedFlat,4660398.641106147,-4660398.641106147,443970.5333737907,64.99999999999999,0.7397116698692928,5037836.862027004,-377438.22092085704,0,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6488483.146373606,-6488483.146373606,443970.5333737907,71.08132369269141,0.7397116698692928,7054897.45162046,-566414.3052468533,0,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2878424.1468148488,-2878424.1468148488,443970.5333737907,59.17914868953582,0.7397116698692928,3107170.0582962465,-228745.9114813977,0,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,443970.5333737907,49.81120655124495,0.7397116698692928,0.0,0.0,0,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1635148.6507336828,-1635148.6507336828,443970.53337379056,65.0,0.7397116698692928,1954345.743599399,-319197.0928657162,0,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3463256.785279092,-3463256.785279092,443970.53337379056,71.08132369269143,0.7397116698692928,3971406.333192854,-508149.5479137623,0,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,582319.1797989121,-582319.1797989121,443970.53337379056,61.250606199899785,0.7397116698692928,710742.4014294776,-128423.22163056547,0,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,443970.53337379056,59.10775802393862,0.7397116698692928,0.0,0.0,0,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1104610.5547094073,1104610.5547094073,443970.5333737907,65.00000000000001,0.7397116698692928,-775695.7371369782,-328914.8175724291,0,joint,Baseload / FixedFlat
Baseload,FixedEscalated,745988.5821311923,-745988.5821311923,443970.5333737907,71.1737960547356,0.7397116698692928,1272036.1941793433,-526047.612048151,0,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-130510.95525527975,130510.95525527975,443970.5333737907,67.23349233612029,0.7397116698692928,-34888.37413449923,-95622.58112078052,0,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,443970.5333737907,67.33867881257927,0.7397116698692928,0.0,0.0,0,joint,Baseload / Floating
PayAsProduced,FixedFlat,4698715.59859397,-4698715.59859397,446431.2407208789,65.00000000000001,0.7414215662560041,5078219.734692396,-379504.13609842584,1,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6544944.02550685,-6544944.02550685,446431.2407208789,71.11589131110627,0.7414215662560041,7117988.861084546,-573044.8355776956,1,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2889932.9260634496,-2889932.9260634496,446431.2407208789,59.1334715986747,0.7414215662560041,3121618.0059475517,-231685.0798841021,1,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,446431.2407208789,49.773845456604604,0.7414215662560041,0.0,0.0,1,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1678987.2949300264,-1678987.2949300264,446431.2407208789,65.0,0.7414215662560041,1997854.65380479,-318867.3588747636,1,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3525239.6331195533,-3525239.6331195533,446431.2407208789,71.11589131110627,0.7414215662560041,4037623.7801969456,-512384.1470773923,1,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,586856.7608500373,-586856.7608500373,446431.2407208789,61.158006900550944,0.7414215662560041,716474.9644966198,-129618.20364658243,1,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,446431.2407208789,59.0097819111177,0.7414215662560041,0.0,0.0,1,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1034061.8416414008,1034061.8416414008,446431.24072087894,64.99999999999996,0.7414215662560041,-711393.2868481576,-322668.5547932432,1,joint,Baseload / FixedFlat
Baseload,FixedEscalated,826794.2436906532,-826794.2436906532,446431.24072087894,71.17379605473558,0.7414215662560041,1347688.2017686688,-520893.9580780156,1,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-120626.08910253484,120626.08910253484,446431.24072087894,67.05660396031894,0.7414215662560041,-25475.723882885464,-95150.36521964938,1,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,446431.24072087894,67.13298846693958,0.7414215662560041,0.0,0.0,1,joint,Baseload / Floating
PayAsProduced,FixedFlat,4741076.759819476,-4741076.759819476,446343.11247612035,65.0,0.7404168445018608,5111669.631030954,-370592.8712114785,2,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6585027.643903866,-6585027.643903866,446343.11247612035,71.09750040724359,0.7404168445018608,7144903.580009922,-559875.936106056,2,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2916605.1963967215,-2916605.1963967215,446343.11247612035,59.09703599387844,0.7404168445018608,3143304.560880368,-226699.36448364658,2,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,446343.11247612035,49.67052565566408,0.7404168445018608,0.0,0.0,2,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1687576.336149369,-1687576.336149369,446343.11247612035,65.00000000000001,0.7404168445018608,2003963.2030224837,-316386.86687311484,2,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3531550.98591213,-3531550.98591213,446343.11247612035,71.09750040724359,0.7404168445018608,4037197.1520014475,-505646.1660893173,2,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,596795.6482646673,-596795.6482646673,446343.11247612035,61.1663567632195,0.7404168445018608,725620.7582993995,-128825.11003473226,2,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,446343.11247612035,58.99028013836438,0.7404168445018608,0.0,0.0,2,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1023539.7379083629,1023539.7379083629,446343.1124761204,64.99999999999997,0.7404168445018608,-695098.5400011841,-328441.1979071788,2,joint,Baseload / FixedFlat
Baseload,FixedEscalated,836949.0031036934,-836949.0031036934,446343.1124761204,71.1737960547356,0.7404168445018608,1363576.473394259,-526627.4702905657,2,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-111473.02810397756,111473.02810397756,446343.1124761204,67.04456239899832,0.7404168445018608,-13331.684272745502,-98141.34383123205,2,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,446343.1124761204,67.08454301722631,0.7404168445018608,0.0,0.0,2,joint,Baseload / Floating
PayAsProduced,FixedFlat,4698729.805877391,-4698729.805877391,446119.90644655685,65.0,0.740835629333692,5078096.005511755,-379366.1996343639,3,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6549736.690719105,-6549736.690719105,446119.90644655685,71.13377399760456,0.740835629333692,7122402.693953049,-572666.0032339441,3,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2860787.531816805,-2860787.531816805,446119.90644655685,59.0490851922628,0.740835629333692,3094733.8945907266,-233946.3627739218,3,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,446119.90644655685,49.7635907997265,0.740835629333692,0.0,0.0,3,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1667025.7538764332,-1667025.7538764332,446119.9064465568,65.0,0.740835629333692,1981704.7403184855,-314678.9864420523,3,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3518056.555538499,-3518056.555538499,446119.9064465568,71.13377399760455,0.740835629333692,4026011.4287597756,-507954.8732212768,3,joint,PayAsNominated / FixedEscalated
